縣市,行政區,建物類別名稱,交易季,交易量(棟),成交行情(萬/坪),市場開價(萬/坪),銷售天期(天),買賣議價率(%)
臺南市,仁德區,透天厝,2024Q4,33,29.23,41.35,113,13.4%
高雄市,鼓山區,公寓,2024Q4,21,16.52,24.58,114,17.1%
臺中市,豐原區,住宅大樓,2025Q3,49,29.8,33.84,157,13%
高雄市,前鎮區,透天厝,2025Q3,29,29.02,47.82,124,20.8%
臺中市,西區,公寓,2024Q1,40,24.64,32.51,119,10.5%
臺北市,南港區,住宅大樓,2025Q4,27,94.4,96.97,133,10.7%
臺中市,烏日區,住宅大樓,2025Q2,60,38.05,40.34,110,11.6%
臺中市,東區,透天厝,2025Q3,18,41.07,56.67,173,19.3%
臺中市,西區,透天厝,2024Q1,34,48.64,67.5,118,10.6%
臺中市,龍井區,透天厝,2025Q4,17,24.04,37.34,107,10%
臺中市,龍井區,住宅大樓,2024Q1,125,30.1,33.1,111,10.5%
臺北市,大同區,住宅大樓,2024Q4,96,88.63,94.11,107,11.4%
新北市,林口區,住宅大樓,2025Q3,181,48.68,52.75,122,13.2%
桃園市,蘆竹區,透天厝,2024Q4,37,31.24,43.69,104,14.6%
臺南市,永康區,住宅大樓,2024Q4,192,27.01,30.28,88,12.1%
高雄市,三民區,住宅大樓,2024Q3,808,36.23,33.98,79,10.2%
臺中市,東區,住宅大樓,2024Q2,151,38.04,37.38,84,6.5%
臺北市,中正區,住宅大樓,2025Q1,122,107.33,119.28,110,10.9%
臺南市,中西區,透天厝,2024Q2,70,34.75,49.81,123,12.4%
臺北市,內湖區,住宅大樓,2024Q1,289,77.25,79.6,93,9.9%
臺中市,烏日區,公寓,2024Q3,1,21.26,29.81,NULL,NULL
臺南市,安平區,公寓,2024Q3,1,15.29,24.74,117,31.7%
桃園市,楊梅區,住宅大樓,2024Q4,165,23.75,27.16,83,13.1%
臺南市,安平區,住宅大樓,2025Q3,90,26.4,33.5,125,16.8%
臺北市,文山區,透天厝,2024Q2,5,68.02,84.38,134,10.8%
臺北市,大同區,公寓,2025Q2,32,63.49,78.08,93,13.2%
桃園市,八德區,公寓,2024Q3,40,21.04,27.94,112,16.2%
臺南市,東區,公寓,2025Q4,10,18.95,23.4,125,19.2%
高雄市,仁武區,住宅大樓,2025Q3,47,28.92,33.71,141,14.3%
桃園市,龜山區,透天厝,2024Q3,34,34.94,52.65,108,14%
臺北市,中山區,公寓,2025Q2,44,69.42,88.17,103,13.5%
高雄市,三民區,公寓,2025Q4,32,18.14,22.16,136,19.6%
新北市,鶯歌區,公寓,2024Q1,25,22.49,28.44,109,13%
臺南市,安南區,透天厝,2025Q4,74,29.02,38.13,148,17.5%
臺北市,北投區,透天厝,2024Q3,10,64.74,129.78,70,14%
臺南市,新市區,透天厝,2025Q4,12,30.34,35.94,124,16.4%
新北市,淡水區,公寓,2025Q3,49,22,28.53,122,14.8%
臺中市,南區,透天厝,2024Q3,47,48.13,59.44,139,12.4%
