縣市,行政區,建物類別名稱,交易季,交易量(棟),成交行情(萬/坪),市場開價(萬/坪),銷售天期(天),買賣議價率(%)
新北市,新莊區,住宅大樓,2024Q3,472,52.82,58.79,70,8.9%
臺中市,中區,公寓,2024Q2,2,18.12,34.3,124,21.2%
桃園市,龜山區,公寓,2024Q1,76,21.23,28.05,122,13.9%
臺北市,北投區,公寓,2025Q3,74,51.19,60.28,109,13.6%
臺北市,士林區,公寓,2024Q4,83,57.35,71.74,77,11.4%
新北市,板橋區,公寓,2025Q3,169,44.81,54.79,131,15%
新北市,新莊區,透天厝,2024Q2,18,68.05,80.63,142,16.8%
臺中市,北區,住宅大樓,2024Q1,402,31.58,35.7,93,10.8%
新北市,淡水區,透天厝,2024Q4,21,31.49,45.88,196,15.2%
新北市,新店區,住宅大樓,2025Q3,268,56.96,60.9,119,12%
新北市,三峽區,住宅大樓,2024Q3,161,42.58,43.26,73,9.4%
臺北市,中正區,公寓,2024Q4,41,74.9,95.65,95,13.3%
臺中市,西屯區,住宅大樓,2025Q2,346,37.82,47.92,129,14.2%
高雄市,仁武區,公寓,2024Q1,4,14.21,27.15,41,17.5%
新北市,蘆洲區,住宅大樓,2025Q2,115,54.24,59.92,89,11.9%
臺中市,北區,透天厝,2024Q4,45,55.73,62.91,126,13.9%
高雄市,橋頭區,透天厝,2024Q1,42,29.29,41.01,128,10.4%
桃園市,中壢區,住宅大樓,2024Q2,1675,37.93,37.74,76,9%
新北市,林口區,住宅大樓,2025Q1,184,48.77,53.68,105,10.9%
臺南市,安南區,住宅大樓,2025Q1,58,29.31,34.36,128,12%
臺南市,歸仁區,透天厝,2025Q4,21,23.41,37.02,116,14.7%
臺北市,大同區,公寓,2024Q1,54,63.06,71.06,87,14.5%
臺中市,豐原區,透天厝,2025Q2,73,38.11,43.82,136,16.8%
臺南市,善化區,透天厝,2024Q4,42,29.38,38.11,120,13.2%
臺南市,新營區,公寓,2025Q3,7,12.57,14.14,52,13.4%
高雄市,鳳山區,透天厝,2024Q3,139,36.39,48.4,119,15.8%
桃園市,大園區,透天厝,2024Q4,45,31.29,36.87,128,17.2%
臺中市,北屯區,住宅大樓,2025Q1,463,36.67,42.86,119,11.8%
臺南市,新化區,透天厝,2024Q2,25,28.98,32.66,109,14%
新北市,新店區,公寓,2024Q1,176,38.3,43.76,117,13%
桃園市,蘆竹區,公寓,2024Q1,2,15.96,30.63,159,24.8%
臺北市,大同區,透天厝,2025Q3,6,159.61,150.4,NULL,NULL
高雄市,岡山區,住宅大樓,2024Q2,175,27.48,25.73,85,10.3%
高雄市,前金區,住宅大樓,2024Q2,128,31.21,34.64,95,10.5%
臺中市,潭子區,住宅大樓,2024Q2,207,33.94,33.26,93,7%
高雄市,仁武區,透天厝,2025Q2,86,33.53,41.89,121,15.6%
臺南市,新營區,透天厝,2024Q2,81,23.42,28.68,109,14.3%
高雄市,小港區,公寓,2024Q4,30,14.46,18.77,97,16.9%
高雄市,左營區,公寓,2025Q3,2,21.3,23.99,119,18.6%
臺北市,大同區,公寓,2024Q4,33,61.49,77.43,70,13.6%
高雄市,前鎮區,住宅大樓,2025Q3,164,31.77,32.3,119,12.7%
新北市,三峽區,公寓,2025Q3,7,24.49,35.27,171,32%
桃園市,龜山區,透天厝,2025Q2,19,31.48,46.87,120,15.2%
桃園市,龜山區,住宅大樓,2024Q2,957,41.76,40.58,68,8%
臺北市,中山區,公寓,2024Q3,62,70.67,90.32,74,11.9%
新北市,深坑區,住宅大樓,2025Q1,17,41.3,43.13,119,14.3%
臺南市,南區,透天厝,2025Q2,63,27.76,38.99,119,19.3%
臺南市,仁德區,住宅大樓,2024Q2,105,28.07,32.19,106,10.4%
桃園市,桃園區,透天厝,2024Q1,101,37.16,57.02,139,14.6%
臺北市,北投區,住宅大樓,2024Q2,249,69.68,70.42,79,10%
臺中市,南區,透天厝,2024Q4,28,44.39,60.32,136,10.9%
桃園市,八德區,公寓,2024Q2,53,20.97,27.26,81,15.6%
臺中市,大雅區,公寓,2024Q1,3,17.49,29.71,183,36%
新北市,新店區,公寓,2025Q2,109,38.06,46.62,122,15.2%
臺中市,東區,公寓,2024Q1,9,19.3,29.88,94,11.8%
桃園市,八德區,公寓,2025Q2,25,20.15,26.22,95,17.8%
新北市,五股區,住宅大樓,2024Q2,325,45.11,44.36,71,7.9%
臺中市,大里區,公寓,2024Q3,23,19.81,27.49,110,13.5%
新北市,中和區,透天厝,2024Q1,18,84.9,94.18,141,16.3%
臺南市,善化區,透天厝,2025Q2,30,31.33,36.76,162,16%
臺南市,南區,透天厝,2024Q1,75,28.7,36.84,141,18.8%
臺南市,永康區,公寓,2024Q1,22,16.32,22.7,146,14.3%
臺北市,信義區,公寓,2024Q3,89,72.28,84.15,80,12.8%
臺中市,南屯區,公寓,2025Q3,8,24.18,32.35,136,13.4%
高雄市,仁武區,公寓,2025Q1,2,17.04,22.74,81,21.4%
臺南市,佳里區,公寓,2024Q1,3,12.09,18.75,7,14.3%
新北市,蘆洲區,公寓,2024Q4,59,41.91,50.49,77,14.2%
高雄市,岡山區,透天厝,2025Q3,37,28.43,43.83,136,16.8%
臺中市,豐原區,公寓,2025Q4,3,17.47,27.09,89,27.3%
臺中市,烏日區,住宅大樓,2024Q3,102,36.44,39.29,63,7.5%
臺北市,南港區,住宅大樓,2025Q2,75,89.79,101.24,108,11.6%
桃園市,八德區,透天厝,2025Q2,57,31.22,44.02,117,18%
新北市,鶯歌區,公寓,2025Q2,16,22.71,28.86,64,15.1%
臺南市,安平區,透天厝,2025Q3,19,31.34,39.83,139,20.9%
臺中市,南區,透天厝,2025Q4,6,39.43,58.16,162,15.9%
高雄市,鹽埕區,公寓,2025Q4,1,12.88,20.79,239,14.5%
臺北市,內湖區,住宅大樓,2024Q4,200,80.81,83.72,86,12.1%
臺南市,北區,公寓,2024Q3,13,16.97,22.52,127,16.9%
臺北市,中山區,公寓,2024Q2,88,70.72,85.64,94,12%
臺中市,神岡區,透天厝,2025Q3,20,26.38,38.18,122,19.6%
桃園市,中壢區,透天厝,2025Q1,125,39.33,54.58,133,13.6%
臺北市,南港區,透天厝,2024Q3,2,108.9,138.31,NULL,NULL
新北市,三重區,公寓,2025Q3,121,43.19,58.05,127,17.6%
新北市,板橋區,住宅大樓,2024Q2,907,67.3,67.96,78,8.5%
臺中市,西區,透天厝,2024Q3,34,69.17,74.5,126,11.5%
高雄市,鳳山區,住宅大樓,2025Q3,198,27.08,30.09,139,13.2%
臺中市,西區,住宅大樓,2025Q2,176,33.45,39.84,102,14.4%
高雄市,新興區,公寓,2025Q4,2,17.2,25.81,133,18.4%
新北市,三峽區,透天厝,2025Q1,9,45.04,47.95,186,16.1%
臺中市,西區,公寓,2024Q4,33,26.93,34.34,98,13.1%
高雄市,小港區,公寓,2025Q4,15,14.55,18.28,176,12.8%
臺北市,士林區,住宅大樓,2025Q1,74,83.88,91.91,130,10.4%
臺中市,東區,住宅大樓,2025Q3,62,32.59,37.38,138,13.9%
新北市,林口區,透天厝,2024Q1,25,34.33,47.53,163,10.7%
臺北市,文山區,住宅大樓,2024Q2,226,70.09,73.25,76,8.9%
臺南市,佳里區,住宅大樓,2025Q3,10,21.38,23.45,113,8.4%
高雄市,楠梓區,公寓,2024Q3,42,18.34,23.01,114,16%
臺中市,北屯區,透天厝,2024Q1,185,45.74,55.73,129,12.9%
臺南市,安南區,透天厝,2024Q4,147,30.6,38.69,124,13.9%
新北市,土城區,透天厝,2025Q2,2,68.39,85.83,182,37.6%
臺南市,中西區,住宅大樓,2024Q2,130,26.16,30.66,82,12.6%
新北市,泰山區,住宅大樓,2025Q2,64,44.85,49.79,103,10.3%
新北市,三峽區,住宅大樓,2025Q1,94,43.96,43.12,104,10.4%
新北市,樹林區,住宅大樓,2025Q1,105,42.81,45.5,105,10%
臺南市,南區,公寓,2024Q4,21,17.4,22.2,80,17.4%
高雄市,前金區,公寓,2025Q3,3,18.38,27.06,99,19.3%
臺中市,西區,住宅大樓,2025Q3,125,31.5,38.78,117,15%
臺南市,南區,公寓,2025Q1,23,14.6,21.17,131,19.9%
臺北市,大安區,住宅大樓,2024Q1,369,113.12,124.11,122,10.3%
臺北市,內湖區,透天厝,2025Q3,5,61.95,100.38,201,18.2%
桃園市,龜山區,透天厝,2025Q1,22,30.99,47,121,13.6%
臺中市,西區,公寓,2025Q2,30,24.05,34.41,121,14.4%
高雄市,鳳山區,住宅大樓,2024Q1,576,28.64,28.56,84,10%
臺南市,北區,住宅大樓,2025Q4,42,29.2,34.62,118,14.6%
臺中市,大里區,透天厝,2025Q4,28,37.45,43.18,177,20.8%
臺南市,永康區,住宅大樓,2024Q3,313,28.56,30.21,86,11.7%
臺中市,東區,公寓,2025Q2,4,21.61,30.75,102,17.5%
桃園市,大園區,住宅大樓,2024Q3,355,30.36,40.06,58,8.2%
臺中市,太平區,透天厝,2025Q3,82,34.8,45.75,155,19.3%
新北市,土城區,公寓,2024Q4,62,39.87,48.59,116,16.6%
臺中市,中區,透天厝,2024Q1,9,31.17,75.5,73,19%
臺南市,南區,透天厝,2024Q2,113,32.81,39.59,117,15.6%
新北市,中和區,住宅大樓,2025Q3,302,60.34,65.07,104,11.2%
臺中市,太平區,透天厝,2024Q3,165,41.88,47.08,125,13.7%
臺南市,仁德區,公寓,2025Q1,2,21.11,19.33,153,10.3%
桃園市,平鎮區,公寓,2024Q1,42,16.15,21.56,102,18.9%
臺北市,文山區,透天厝,2024Q4,6,78.6,95.36,155,13.6%
臺中市,龍井區,透天厝,2025Q1,34,27.09,38.35,121,10.3%
新北市,八里區,透天厝,2024Q3,6,31.16,41.3,35,12.4%
臺中市,大里區,透天厝,2024Q1,133,33.91,47.77,119,14.3%
新北市,汐止區,公寓,2025Q1,60,30.49,39.18,120,14.2%
桃園市,楊梅區,透天厝,2024Q1,189,23.59,31.45,137,16%
高雄市,左營區,透天厝,2024Q3,38,38.14,54.65,140,10.8%
高雄市,苓雅區,透天厝,2025Q1,55,40.88,56.2,140,21.6%
新北市,新莊區,透天厝,2025Q4,6,57.62,79.42,165,15.4%
臺南市,中西區,透天厝,2025Q2,30,33.01,52.25,146,19.6%
新北市,汐止區,住宅大樓,2025Q3,260,46.77,50.05,107,12.8%
高雄市,前金區,透天厝,2025Q1,10,52.47,65.58,147,13.1%
臺北市,南港區,透天厝,2024Q4,2,98.34,118.01,18,14.4%
臺中市,東區,住宅大樓,2025Q2,48,31.87,38.56,99,10.9%
新北市,汐止區,公寓,2025Q3,38,30.48,40.65,127,14.6%
高雄市,橋頭區,住宅大樓,2025Q1,49,29.03,36.09,108,14.4%
臺北市,文山區,住宅大樓,2024Q4,144,72.77,74.59,66,10%
臺北市,中正區,住宅大樓,2025Q3,109,108.03,122.62,100,9.8%
臺北市,大安區,公寓,2024Q1,88,92.69,101.88,94,10.7%
臺南市,南區,住宅大樓,2024Q4,58,27.02,28.12,98,14.6%
高雄市,鹽埕區,透天厝,2024Q4,7,20.51,56.2,120,25.3%
新北市,土城區,公寓,2024Q2,142,38.99,46.78,87,13%
臺北市,萬華區,透天厝,2025Q1,7,105.51,123.39,190,9.8%
臺北市,中正區,透天厝,2024Q4,2,96.6,194.86,21,16.8%
新北市,板橋區,透天厝,2025Q4,4,70.38,110.11,137,15%
新北市,新店區,住宅大樓,2024Q2,493,53.75,59.11,89,8.9%
高雄市,三民區,住宅大樓,2024Q2,938,32.63,33.15,79,9.6%
高雄市,前鎮區,透天厝,2024Q1,66,33.34,47.06,102,13.7%
新北市,林口區,透天厝,2025Q4,5,45.35,51.6,128,8.3%
高雄市,三民區,透天厝,2024Q1,118,37.6,46.86,126,13.4%
高雄市,仁武區,住宅大樓,2024Q2,451,31.06,32.8,68,7.9%
臺南市,新化區,透天厝,2025Q3,17,21.71,33.51,142,15.6%
新北市,板橋區,住宅大樓,2024Q4,395,68.8,72.23,77,10.6%
臺北市,文山區,透天厝,2025Q1,3,52.47,103.69,140,21.6%
臺北市,大安區,透天厝,2024Q2,6,166.25,186.05,172,24.9%
新北市,蘆洲區,公寓,2024Q3,67,40.57,50.17,91,13.1%
新北市,三重區,透天厝,2024Q4,15,67.06,95.55,125,17.7%
新北市,林口區,住宅大樓,2025Q4,94,48.92,52.01,158,11.6%
新北市,三重區,透天厝,2025Q1,9,72.22,96.25,104,16.6%
新北市,林口區,公寓,2024Q2,20,26.53,39.96,101,11.4%
新北市,新莊區,住宅大樓,2024Q4,375,55.08,58.73,80,11.4%
高雄市,左營區,透天厝,2024Q4,44,41.5,54.43,135,15.7%
新北市,板橋區,公寓,2025Q2,196,45.89,55.79,108,16.1%
臺南市,安南區,公寓,2024Q3,8,12.35,22.74,119,17.2%
臺中市,豐原區,住宅大樓,2024Q1,116,32.37,32.54,82,8.7%
臺中市,南區,公寓,2024Q1,33,23.6,29.91,76,12.6%
高雄市,前鎮區,公寓,2024Q1,57,15.39,21.55,110,18.7%
臺南市,新市區,住宅大樓,2025Q3,24,25.97,33.6,172,13.9%
臺中市,大里區,住宅大樓,2025Q1,111,29.92,34.11,85,10.8%
桃園市,蘆竹區,透天厝,2025Q3,30,23.5,49.69,141,20.2%
臺南市,新化區,透天厝,2025Q2,15,28.1,32.67,68,16%
臺中市,龍井區,公寓,2024Q4,17,18.36,28.23,55,18.6%
高雄市,三民區,住宅大樓,2025Q4,199,29.87,33.52,125,13.3%
臺中市,烏日區,公寓,2024Q1,5,23.78,27.04,225,8.3%
臺北市,松山區,公寓,2024Q2,75,78.39,89.58,99,11.5%
臺北市,中正區,公寓,2025Q2,29,70.35,92.14,125,15.2%
高雄市,苓雅區,透天厝,2024Q2,101,41,56.08,128,14.4%
高雄市,左營區,公寓,2024Q3,13,18.99,25.61,81,17.8%
高雄市,鳳山區,公寓,2025Q4,42,16.03,21.3,114,20.8%
桃園市,楊梅區,住宅大樓,2025Q1,169,24.3,27.3,114,13.8%
新北市,板橋區,住宅大樓,2024Q3,553,72.72,71.24,74,8.7%
桃園市,龜山區,公寓,2025Q2,42,22.12,28.11,96,13.4%
桃園市,楊梅區,住宅大樓,2025Q4,88,23.57,26.25,148,13.9%
臺北市,松山區,公寓,2024Q1,69,74.62,87.04,113,11.1%
臺中市,太平區,公寓,2025Q1,7,17.35,27.04,81,20%
臺北市,中正區,透天厝,2025Q2,3,76.59,205.21,249,26.9%
高雄市,三民區,住宅大樓,2025Q1,373,30.56,34.17,105,13.1%
新北市,林口區,公寓,2024Q1,17,26.92,34.65,142,16.9%
臺中市,龍井區,透天厝,2025Q3,29,29.08,37.24,113,18.8%
臺中市,東區,公寓,2024Q4,1,24.99,31.31,133,25.7%
臺南市,安南區,住宅大樓,2024Q3,119,29.69,34.27,83,8.6%
高雄市,三民區,住宅大樓,2024Q4,359,29.4,33.83,82,12.5%
臺中市,大里區,住宅大樓,2025Q4,46,26.96,33.4,148,13.9%
臺北市,大安區,住宅大樓,2024Q2,407,118.43,127.74,96,9.3%
新北市,永和區,透天厝,2024Q4,7,105.38,110.57,145,16.7%
臺北市,北投區,公寓,2024Q2,135,48.71,56.62,81,10.3%
臺中市,太平區,住宅大樓,2024Q2,659,34.8,34.75,84,7.6%
臺南市,中西區,住宅大樓,2025Q3,44,26.23,31.5,97,14.4%
臺北市,北投區,透天厝,2024Q1,9,90.58,131.32,143,14.8%
桃園市,中壢區,透天厝,2025Q2,105,37.08,53.68,113,15.7%
桃園市,蘆竹區,透天厝,2024Q3,46,32.37,42,109,14%
臺中市,西屯區,住宅大樓,2024Q1,853,37.5,45.56,105,9.8%
臺中市,東區,公寓,2024Q3,9,23.03,31.02,76,15.4%
新北市,新店區,公寓,2024Q2,201,40.19,45.14,103,12%
高雄市,左營區,住宅大樓,2025Q3,200,30.96,35.62,127,14%
臺中市,龍井區,公寓,2025Q1,25,18.95,30.13,39,9.4%
臺中市,南屯區,住宅大樓,2024Q4,225,39.16,44.93,89,10.3%
臺南市,安平區,住宅大樓,2024Q1,193,26.94,30.09,107,10.9%
臺南市,安南區,透天厝,2025Q2,119,29.18,39.08,142,17.5%
桃園市,龜山區,住宅大樓,2025Q3,241,40.01,42.6,124,11.9%
桃園市,大園區,住宅大樓,2024Q4,687,20.33,41.3,83,11.1%
臺南市,善化區,透天厝,2025Q1,27,32.85,36.44,133,15.4%
新北市,鶯歌區,公寓,2025Q3,15,23.37,28.74,163,14.9%
高雄市,小港區,透天厝,2024Q1,165,29.72,33.42,124,16.8%
新北市,樹林區,公寓,2024Q1,65,29.15,35.82,95,13%
臺南市,南區,住宅大樓,2025Q2,48,24.95,27.86,99,11.5%
高雄市,鳳山區,住宅大樓,2024Q2,899,30.94,29.55,69,8.9%
桃園市,八德區,公寓,2025Q4,7,18.76,25.27,143,21.8%
臺北市,士林區,透天厝,2025Q4,4,113.66,155.03,NULL,NULL
高雄市,鼓山區,住宅大樓,2024Q2,679,42.06,40,78,7.6%
新北市,永和區,住宅大樓,2025Q2,102,65.8,73.06,105,12%
桃園市,蘆竹區,住宅大樓,2024Q2,389,32.52,34.7,77,9.8%
臺北市,士林區,透天厝,2024Q2,11,108.7,137.06,145,17.7%
臺中市,潭子區,公寓,2024Q3,5,22.52,31.73,89,14.2%
新北市,永和區,公寓,2024Q4,71,52.9,62.43,85,12.4%
高雄市,楠梓區,公寓,2025Q2,40,16.5,22.18,142,22.1%
新北市,土城區,公寓,2025Q4,31,38.76,46.94,139,18.4%
新北市,永和區,住宅大樓,2024Q4,127,67.63,73.74,77,11.6%
臺中市,龍井區,住宅大樓,2024Q4,67,26.12,36.81,89,9.8%
臺中市,大里區,透天厝,2024Q2,144,37.4,48.06,126,14.3%
新北市,新店區,住宅大樓,2024Q1,474,54.87,57.85,93,9.5%
臺北市,內湖區,公寓,2024Q1,137,57.15,65.29,98,11.6%
臺南市,佳里區,住宅大樓,2025Q2,21,22.04,23.72,96,11.4%
新北市,土城區,透天厝,2025Q3,6,54.01,88.31,118,20.1%
臺中市,龍井區,住宅大樓,2025Q2,24,28.45,34.5,121,16.4%
高雄市,前鎮區,公寓,2024Q4,41,16.21,21.87,85,19.8%
桃園市,中壢區,公寓,2024Q2,132,21.21,27.66,97,15.8%
新北市,泰山區,公寓,2025Q3,21,31.74,40.19,121,17.2%
高雄市,鳳山區,透天厝,2025Q4,38,29.62,44.01,149,16.4%
臺南市,新市區,透天厝,2025Q3,16,28.71,34.54,122,20.5%
高雄市,橋頭區,住宅大樓,2025Q4,26,29.02,32.49,139,16.4%
新北市,土城區,住宅大樓,2024Q1,523,55.33,53.77,75,8.8%
高雄市,楠梓區,住宅大樓,2024Q3,716,32.43,32.15,64,7.5%
臺北市,內湖區,住宅大樓,2024Q3,228,81.35,84.22,68,9.2%
臺北市,信義區,透天厝,2024Q3,5,99.64,133.84,126,14.9%
臺南市,仁德區,住宅大樓,2024Q1,79,25.83,29.77,99,11.1%
臺中市,西區,透天厝,2025Q2,24,64.39,74.57,167,13.7%
臺南市,北區,公寓,2025Q1,10,17.46,20.62,79,10.4%
臺中市,南屯區,透天厝,2024Q2,97,61.34,63.51,142,13.4%
高雄市,岡山區,透天厝,2025Q1,59,31.9,43.81,117,17.4%
新北市,永和區,透天厝,2024Q3,7,106.02,129.15,167,18.5%
臺北市,文山區,住宅大樓,2024Q3,190,72.71,74.47,53,9.3%
臺南市,安南區,住宅大樓,2024Q4,81,31.37,34.23,84,8.7%
臺中市,北區,透天厝,2024Q2,75,44.02,58.44,119,13.9%
臺北市,大同區,住宅大樓,2025Q4,46,87.86,94.95,96,13.9%
臺南市,東區,公寓,2025Q3,13,16.79,24.16,127,15.4%
新北市,淡水區,公寓,2024Q1,118,21.59,26.16,119,15.3%
臺南市,佳里區,透天厝,2024Q1,76,24.28,25.12,124,10%
臺北市,南港區,公寓,2024Q2,61,64.33,71.58,96,11.5%
桃園市,蘆竹區,公寓,2024Q3,4,19.23,26.43,43,16.3%
臺南市,永康區,透天厝,2025Q3,69,35.61,38.84,152,19%
高雄市,岡山區,公寓,2024Q2,5,14.07,22.86,60,8.7%
新北市,鶯歌區,公寓,2024Q2,31,23.82,28.22,105,13.4%
臺北市,士林區,公寓,2025Q3,61,59.85,71.58,118,12.7%
新北市,永和區,公寓,2025Q3,68,49.95,58.98,126,15.2%
新北市,鶯歌區,透天厝,2024Q3,24,35.89,52.32,153,11.7%
臺中市,大里區,公寓,2024Q4,7,19.58,27.35,116,17.1%
新北市,蘆洲區,住宅大樓,2025Q3,91,56,59.3,104,11.9%
新北市,林口區,透天厝,2024Q2,29,48.8,48.93,145,9%
高雄市,苓雅區,公寓,2024Q2,103,18.61,22.62,93,13.6%
桃園市,大園區,透天厝,2024Q2,119,29.84,39.33,143,15.2%
臺北市,南港區,住宅大樓,2024Q3,69,83.57,98.7,103,9.2%
新北市,汐止區,透天厝,2024Q3,21,42.21,48.17,135,17.5%
臺中市,豐原區,透天厝,2025Q4,25,32.18,45.8,110,14.7%
桃園市,八德區,住宅大樓,2025Q3,167,33.89,34.35,136,12.3%
高雄市,前鎮區,住宅大樓,2024Q2,477,32.19,31.38,93,9.8%
臺南市,新營區,公寓,2024Q2,13,11.11,15.91,144,22.2%
新北市,五股區,透天厝,2024Q1,9,39.54,53.52,105,14.7%
臺中市,大里區,透天厝,2024Q4,69,36.3,49.1,141,15.9%
臺中市,大雅區,住宅大樓,2024Q3,41,31.57,34.32,68,9.8%
新北市,蘆洲區,透天厝,2024Q3,4,96.37,99.93,42,11.2%
新北市,樹林區,住宅大樓,2025Q3,84,40.36,44.47,106,12.7%
臺北市,信義區,住宅大樓,2025Q2,115,102.58,119.72,116,10.5%
臺中市,東區,透天厝,2024Q1,44,49.78,49.59,104,13.3%
新北市,淡水區,住宅大樓,2025Q4,303,34.02,36.9,150,11.8%
新北市,深坑區,透天厝,2024Q1,7,32.75,49.75,NULL,NULL
臺南市,南區,公寓,2024Q2,42,16.26,21.09,89,21.6%
新北市,汐止區,住宅大樓,2024Q4,355,50.37,48.91,72,11.2%
桃園市,平鎮區,住宅大樓,2024Q2,430,29.17,28.64,73,10%
新北市,泰山區,公寓,2024Q4,18,30.58,40.1,60,13.2%
臺中市,大里區,公寓,2025Q3,7,17.25,26.14,144,24%
高雄市,苓雅區,透天厝,2025Q4,20,40.43,54.27,161,19.2%
新北市,深坑區,透天厝,2024Q3,4,22.26,42.16,171,29.5%
桃園市,楊梅區,公寓,2024Q3,29,16.63,20.77,67,16.1%
臺中市,中區,住宅大樓,2024Q2,85,22.86,30.83,95,16.7%
新北市,永和區,透天厝,2024Q1,8,101.91,138.73,242,8.6%
臺北市,信義區,公寓,2025Q1,68,69.87,86.77,112,13.2%
新北市,新店區,透天厝,2025Q3,31,38.55,55.95,139,12.1%
高雄市,鳳山區,公寓,2025Q1,56,17.14,22.93,140,19.9%
臺南市,歸仁區,住宅大樓,2024Q1,154,29.96,31.59,95,12.1%
臺中市,中區,住宅大樓,2024Q4,42,22.46,33.91,118,15.9%
臺中市,西區,公寓,2024Q3,34,27.15,34.07,105,13.2%
桃園市,楊梅區,公寓,2024Q1,38,14.52,19.23,123,19.1%
臺中市,烏日區,住宅大樓,2025Q1,68,37.6,40.94,109,11.5%
高雄市,鹽埕區,住宅大樓,2024Q3,34,18.16,42,104,15.2%
臺中市,大里區,公寓,2025Q1,11,19.26,27.34,135,16.4%
臺北市,南港區,透天厝,2025Q3,1,159.47,141.43,269,28.9%
臺南市,安南區,透天厝,2025Q1,132,29.88,38.19,116,14%
高雄市,仁武區,透天厝,2024Q2,242,34.18,41,113,12.5%
臺中市,西屯區,住宅大樓,2025Q3,285,37.23,47.62,148,15.4%
臺中市,烏日區,住宅大樓,2025Q4,34,39.82,39.19,136,10.6%
桃園市,大園區,公寓,2025Q2,6,15.96,22.08,119,26.9%
臺中市,西屯區,透天厝,2024Q3,54,55.9,69.83,147,14.7%
高雄市,仁武區,住宅大樓,2024Q1,369,30.18,32.25,100,8%
高雄市,鹽埕區,透天厝,2025Q3,3,24.5,46.69,49,6.6%
新北市,八里區,公寓,2024Q1,1,17.15,30.77,50,9.1%
臺北市,信義區,公寓,2025Q4,30,73.47,85.36,151,16.7%
臺南市,仁德區,公寓,2025Q3,2,12.23,22.01,3,18.8%
臺中市,中區,公寓,2024Q1,2,23.2,32.99,201,4.6%
臺中市,北區,透天厝,2025Q1,38,50.81,61.56,139,13.3%
臺北市,大同區,透天厝,2024Q3,12,117.51,166.68,NULL,NULL
桃園市,大園區,透天厝,2025Q1,36,31.74,37.31,97,10.6%
臺中市,中區,透天厝,2024Q3,8,35.45,78.76,125,7.7%
臺中市,北區,公寓,2024Q2,116,25.64,31.44,104,10.7%
臺南市,東區,住宅大樓,2024Q1,333,30.76,30.8,108,12.7%
臺中市,北區,公寓,2025Q2,52,22.82,29.98,155,13.6%
高雄市,三民區,公寓,2025Q3,45,17.3,22.85,139,18%
新北市,泰山區,透天厝,2025Q3,8,72.09,52.44,183,19.7%
新北市,鶯歌區,住宅大樓,2024Q4,71,35.07,38.11,82,11.7%
臺北市,大同區,住宅大樓,2025Q2,79,82.21,95.02,124,13%
高雄市,新興區,透天厝,2025Q2,19,73.23,66.26,172,19.7%
新北市,土城區,公寓,2025Q1,57,38.76,48.9,96,14.4%
臺南市,永康區,公寓,2025Q2,5,18.61,24.06,127,15%
臺南市,永康區,透天厝,2024Q4,106,32.28,41.29,127,18%
桃園市,龜山區,公寓,2024Q3,67,24.69,29.35,75,15.1%
臺中市,大雅區,住宅大樓,2024Q2,49,31.39,32.6,60,5.9%
新北市,鶯歌區,透天厝,2024Q4,19,33.94,48.67,140,16.8%
桃園市,中壢區,透天厝,2025Q4,45,40.36,51.72,142,18%
臺南市,善化區,透天厝,2025Q4,16,30.21,36.6,125,18.8%
臺北市,大安區,透天厝,2024Q1,1,184.08,195.68,NULL,NULL
新北市,三重區,透天厝,2025Q2,9,74.37,101.94,35,18.4%
新北市,八里區,公寓,2025Q2,9,18.4,29.36,141,28.7%
臺北市,北投區,透天厝,2024Q4,5,61.74,121.91,119,22.1%
臺南市,北區,公寓,2025Q4,3,12.53,22.21,126,28%
臺中市,烏日區,公寓,2024Q4,2,24.9,27.99,31,10.5%
桃園市,中壢區,住宅大樓,2024Q4,602,34.35,40.14,82,11.8%
新北市,深坑區,公寓,2025Q2,8,30.16,33.43,71,12.5%
桃園市,八德區,公寓,2025Q1,17,20.28,27.22,130,16.6%
高雄市,左營區,透天厝,2025Q2,31,37.54,56.69,167,21%
臺中市,北屯區,公寓,2024Q1,75,23.08,31.36,91,11.9%
新北市,新莊區,住宅大樓,2025Q1,369,54.74,58.75,100,11.6%
臺南市,北區,透天厝,2024Q2,94,32.04,43.79,123,14.6%
臺中市,太平區,住宅大樓,2024Q1,612,33.37,33.27,93,8.5%
臺中市,神岡區,透天厝,2024Q1,52,44.85,40.89,94,9.8%
臺北市,萬華區,公寓,2025Q3,45,49.84,61.15,92,18.4%
臺中市,龍井區,公寓,2025Q2,10,20.63,27.84,154,17.9%
高雄市,苓雅區,住宅大樓,2025Q3,160,27.99,32.66,125,14.3%
新北市,中和區,公寓,2025Q3,143,43.92,53.77,130,15.6%
新北市,泰山區,公寓,2025Q1,16,31.98,40.82,89,14.4%
新北市,土城區,住宅大樓,2024Q2,584,57.1,55.57,65,9%
桃園市,桃園區,住宅大樓,2024Q1,1516,36.22,35.9,88,10.3%
臺北市,內湖區,公寓,2024Q2,147,58.13,67.36,75,9.9%
高雄市,鼓山區,公寓,2024Q2,54,18.03,22.54,85,14.2%
臺中市,北屯區,公寓,2025Q2,30,23.78,31.62,164,16.1%
桃園市,桃園區,透天厝,2024Q3,83,40.75,56.39,127,13.7%
高雄市,苓雅區,公寓,2025Q2,57,18.25,23.22,110,18.6%
臺北市,松山區,透天厝,2024Q3,1,230.7,163.94,NULL,NULL
